topic,TotalProblems,Solved,CompletionRate,SkillScore,Level
Design,2,0,0.0,0.0,Weak
Sliding Window,4,1,0.25,25.0,Weak
Two Pointers,3,1,0.3333333333333333,33.33,Weak
Intervals,5,2,0.4,40.0,Weak
Dynamic Programming,9,4,0.4444444444444444,44.44,Weak
Trie,2,1,0.5,50.0,Weak
Heap,4,2,0.5,50.0,Weak
Graph,8,4,0.5,50.0,Weak
Stack,6,3,0.5,50.0,Weak
Linked List,7,4,0.5714285714285714,57.14,Weak
Backtracking,5,3,0.6,60.0,Medium
Binary Search,6,4,0.6666666666666666,66.67,Medium
Math,3,2,0.6666666666666666,66.67,Medium
Tree,7,5,0.7142857142857143,71.43,Medium
Array,5,4,0.8,80.0,Strong
String,3,3,1.0,100.0,Strong
